LAI,Lwin,PPT,Pa,Rg,Ta,U,VPD,ea,ustar
0,283,0,99.4,0.000,-5.300,3.487,0.032,0.380,NaN
0,284,0,99.4,0.000,-5.100,3.509,0.028,0.391,NaN
0,284,0,99.4,0.000,-5.100,3.532,0.030,0.389,NaN
0,284,0,99.4,0.000,-5.100,3.442,0.032,0.386,NaN
0,284,0,99.4,0.000,-4.800,3.353,0.033,0.395,NaN
0,286,0,99.5,0.000,-4.600,3.353,0.035,0.400,NaN
0,286,0,99.5,0.000,-4.400,3.353,0.036,0.405,NaN
0,286,0,99.5,0.000,-4.400,3.398,0.035,0.406,NaN
0,287,0,99.5,3.000,-4.300,3.442,0.035,0.409,NaN
0,288,0,99.5,14.000,-4.200,3.509,0.031,0.417,NaN
0,289,0,99.5,51.000,-4.100,3.576,0.038,0.413,NaN
0,290,0,99.5,69.000,-3.900,3.800,0.038,0.421,NaN
0,293,0,99.5,121.000,-3.700,4.023,0.040,0.426,NaN
0,294,0,99.6,118.000,-3.500,3.912,0.040,0.432,NaN
0,295,0,99.5,115.000,-3.200,3.800,0.036,0.447,NaN
0,297,0,99.5,167.000,-3.000,3.487,0.041,0.449,NaN
0,298,0,99.5,160.000,-2.700,3.174,0.045,0.456,NaN
0,299,0,99.4,168.000,-2.400,2.950,0.046,0.467,NaN
0,300,0,99.4,147.000,-2.300,2.727,0.048,0.468,NaN
0,299,0,99.4,121.000,-2.200,2.816,0.049,0.471,NaN
0,299,0,99.3,95.000,-2.200,2.906,0.049,0.471,NaN
0,299,0,99.3,89.000,-2.000,2.727,0.051,0.477,NaN
0,300,0,99.3,98.000,-1.900,2.548,0.054,0.478,NaN
0,300,0,99.3,74.000,-1.700,2.526,0.053,0.486,NaN
0,300,0,99.3,50.000,-1.600,2.503,0.054,0.489,NaN
0,300,0,99.2,49.000,-1.500,2.570,0.045,0.503,NaN
0,299,0,99.2,21.000,-1.500,2.638,0.043,0.504,NaN
0,299,0,99.2,2.000,-1.500,2.369,0.035,0.513,NaN
0,299,0,99.2,0.000,-1.500,2.101,0.030,0.517,NaN
0,299,0,99.2,0.000,-1.400,2.123,0.026,0.526,NaN
0,299,0,99.2,0.000,-1.400,2.146,0.022,0.530,NaN
