LAI,Lwin,PPT,Pa,Rg,Ta,U,VPD,ea,ustar
0,343,0,98.1,342,6.699999809,7.018528,0.215976524,0.765014443,0.492036584
0,344,0,98.1,278,6.800000191,6.795008,0.209559703,0.778196586,NaN
0,344,0,98.1,210,6.900000095,5.967984,0.203042912,0.791519807,NaN
0,345,0,98.1,171,7.199999809,5.14096,0.203202987,0.812028017,NaN
0,343,0,98.2,76,6.900000095,4.403344,0.180150819,0.814411901,0.23515952
0,335,0,98.2,15,5.800000191,3.665728,0.123618865,0.798300865,0.18734994
0,329,0,98.2,0,4.800000191,2.995168,0.088629341,0.771359145,0.081853528
0,326,0,98.2,0,4.599999905,2.324608,0.084852028,0.763201018,0.076811458
0,323,0,98.3,0,3.799999952,2.302256,0.067379636,0.734382221,0.083666003
0,320,0,98.3,0,3.700000048,2.279904,0.064516574,0.731618911,0.074161985
0,319,0,98.3,0,3.400000095,2.302256,0.061604059,0.717861135,0.047958315
0,318,0,98.3,0,2.799999952,2.324608,0.062774611,0.684273118,0.017320508
0,317,0,98.3,0,2.299999952,2.615184,0.060578072,0.660372,0.02236068
0,316,0,98.3,0,1.899999976,2.90576,0.056066668,0.644589389,0.038729834
0,315,0,98.2,0,1.700000048,3.151632,0.052505159,0.638194749,0.054772256
0,315,0,98.2,0,1.600000024,3.397504,0.049385989,0.636382952,0.04472136
0,314,0,98.2,0,1.5,3.01752,0.045627472,0.635241681,0.077459667
0,314,0,98.2,0,1.5,2.637536,0.043584478,0.637284675,0.095916631
0,314,0,98.2,0,1.399999976,2.90576,0.050709659,0.625290714,0.059160798
0,311,0,98.2,0,1,3.173984,0.04138613,0.615445845,0.086023253
0,322,0,98.2,0,1.100000024,3.419856,0.045655811,0.615922593,0.338526218
0,313,0,98.1,0,1.200000048,3.665728,0.047985426,0.618369744,0.147986486
0,309,0,98.1,0,0.300000012,3.68808,0.023105319,0.601337212,0.107238053
0,308,0,98.1,0,0.200000003,3.710432,0.019218439,0.600714434,NaN
0,307,0,98,0,0,3.956304,0.010998005,0.600001995,NaN
0,309,0,98,0,0.5,4.202176,0.021542206,0.612006883,0.202237484
0,310,0,97.9,0,0.699999988,4.783328,0.028284791,0.614488259,0.216333077
0,311,0,97.9,0,0.800000012,5.36448,0.031080094,0.61634937,NaN
0,311,0,97.8,0,0.699999988,6.124448,0.028927621,0.613845429,NaN
0,312,0,97.7,0,1,6.884416,0.039415351,0.617416624,0.407553677
0,314,0,97.7,0,1.299999952,7.286752,0.048332235,0.622830198,0.416173041
0,314,0,97.6,0,1.399999976,7.689088,0.051385778,0.624614595,0.46400431
0,315,0,97.5,0,1.600000024,7.197344,0.061046588,0.624722353,0.469680743
0,317,0,97.5,0,2,6.7056,0.079763204,0.625918385,0.469574275
